"Timestamp","Koliko se godina profesionalno bavite digitalnim produktima?","Vaše zanimanje","Spol","Koliko godina imate","Prebivalište","U kojoj županiji radite","Obrazovanje","Koja je vaša trenutna dizajnerska uloga?","Na skali od 1-7, koliko vas je obrazovanje pripremilo za trenutnu radnu poziciju?","Koliko godina radite na trenutnoj poziciji?","Trenutno radite na poziciji:","U kojoj od navedenih tipova firma trenutno radite?","Koliko zaposlenika ima firma u kojoj radite? ","Ima li firma u kojoj radite dizajn tim? ","Koliko dizajnera ima u tvrtki u kojoj radite?","Koje timske aktivnosti održavate unutar design tima?","Odaberite koliki postotak projekata radite za pojedino tržište: [HR tržište]","Odaberite koliki postotak projekata radite za pojedino tržište: [Europsko tržište]","Odaberite koliki postotak projekata radite za pojedino tržište: [US tržište]","Odaberite koliki postotak projekata radite za pojedino tržište: [Globalno tržište]","Koliko sati provedete na sastancima tjedno?","Što vam je najbitnije na radnom mjestu? [Novčana naknada za obavljeni posao]","Što vam je najbitnije na radnom mjestu? [Mogućnost rada od kuće]","Što vam je najbitnije na radnom mjestu? [Edukacija]","Što vam je najbitnije na radnom mjestu? [Mogućnost profesionalnog razvoja]","Što vam je najbitnije na radnom mjestu? [Kultura kompanije i atmosfera u uredu]","Što vam je najbitnije na radnom mjestu? [Projekti]","Što vam je najbitnije na radnom mjestu? [Status i financijska pozadina tvrtke u kojoj radim]","Što vam je najbitnije na radnom mjestu? [Perks & Benefits (voće, kava, piva, grickalice...)]","Što vam je najbitnije na radnom mjestu? [Putovanja (konferencije, rad s inozemnim klijentima)]","Koliko ste zadovoljni trenutnim poslom?","Koliko ste plaćeni za posao koji radite (neto prihodi mjesečne plaće)?","Koliko ste zadovoljni mjesečnim prihodima?","Gdje najčešće radite?","Koja vrsta edukacije je pristuna na poslu?","S kojim pozicijama blisko surađujete na trenutnom radnom mjestu?","Koje metode koristite u dizajn procesu?","Kako znate jesu li vaša dizajn rješenja uspješna?","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Istraživanje i definiranje potreba korisnika]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Testiranje rješenja]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Strategija proizvoda]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Strategija kompanije]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Akvizicijske metrike (acquisition)]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Retention / Engagement ]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Konverzijske metrike (conversion)]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Revenue (Model zarade)]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Financijske metrike]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Poslovni model]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Upravljanje resursima]","Da ste u prilici dati jedan savjet mangementu tvrtke u kojoj radite, sa željom da unaprijedite dizajn proces, što biste im rekli?","Koju biste tvrtku na našem tržištu izdvojili kao dobar primjer ulaganja u dizajn procese ili kvalitetnog pristupa rješavanju dizajn/produkt problema?","Kako biste u par riječi opisali zašto ste izabrali tu tvrtku kao primjer dobre dizajn prakse?","Koje će po vama biti tri najvrednije dizajn vještine ili znanja potrebna za rad u budućnosti (gledano 3-8 godina unaprijed)?","Koja će nadolazeća tehnologija najviše utjecati na područje dizajna kojim se bavite?"
"2018/06/19 11:31:36 PM GMT+2","4 - 7 godina","UX/UI dizajner","Ženski","26-30","KOPRIVNIČKO-KRIŽEVAČKA","GRAD ZAGREB","GRF","UX/UI dizajner","2","2-5 godina","Medium Dizajner","Digitalna agencija","51-150","Ima jedan dizajn tim","6-10","Revizija dizajna;Mentoriranje","25%","0","25%","75%","4 - 8 sata / tjedno","5","2","5","5","5","5","4","3","4","4","5000kn - 6900kn","2","Najčešće u uredu","Educiram se samostalno doma;Organizirana edukacija unutar tvrtke;Knjige;Blogovi;Networking događaji / meetups;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Programeri;Project managers;Copywritter","Research;Intervjui s korisnicima;Analiza konkurencije;Affinity mapping;Persone;Journey Mapping;Wireframing;Izrada prototipa;Usability testing;Lean UX","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","","","","psihologija, strateško razmišljanje, komunikacija","Conversational Interfaces"
"2018/06/20 7:18:40 AM GMT+2","4 - 7 godina","Grafički dizajner","Ženski","31-35","SPLITSKO-DALMATINSKA","SPLITSKO-DALMATINSKA","Srednja stručna sprema","Grafički dizajner","5","2-5 godina","Senior Dizajner","Autorski ugovor (freelance)","2-10","Nema","Samo ja","Nema design tima","100%","0","0","0","1 - 3 sata / tjedno","5","5","4","4","5","4","3","1","2","3","Nisam zaposlen ali freelanceam","3","Najčešće remotely","Educiram se samostalno doma;Knjige;Blogovi;Online vodiči","Programeri;Produkt managers;Sales;Project managers;Kreativni direktor;Copywritter","Research;Analiza konkurencije","Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","","","","3d / videography / animation","360 video"
"2018/06/20 7:48:51 AM GMT+2","8 - 10 godina","Dizajner vizualnih komunikacija","Muški","31-35","ISTARSKA","ISTARSKA","Fakultet ekonomije i turizma Dr. Mijo Mirković Pula, smjer Poslovna Informatika","Dizajner vizualnih komunikacija","3","6-10 godina","Management (Head of Design, Chief Design Officier i sl. )","Autorski ugovor (freelance)","1","Nema","Samo ja","Dnevni dizajn Standup;Revizija dizajna","75%","25%","0","0","4 - 8 sata / tjedno","4","4","5","5","5","5","4","3","4","4","5000kn - 6900kn","3","Najčešće remotely i povremeno u uredu","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Knjige","Programeri;Project managers","Izrada prototipa;Usability testing","Pomoću analitike;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","","","","Analitika podataka, vizualizacija dizajna u prostoru, ROI","Conversational Interfaces"
"2018/06/20 9:27:12 AM GMT+2","8 - 10 godina","Produkt dizajner (digitalni proizvodi)","Muški","36-40","GRAD ZAGREB","GRAD ZAGREB","TVZ","UX/UI dizajner","1","manje od 1 godine","Senior Dizajner","Digitalna agencija","21-50","Ima jedan dizajn tim","2-5","Dnevni dizajn Standup;Revizija dizajna","0","0","0","100%","9 - 20 sata / tjedno","5","5","4","5","5","5","3","1","2","2","10000kn - 12900kn","3","Najčešće remotely","Educiram se samostalno doma;Knjige;Audio knjige;Blogovi;Webinari;Online tečajevi","UI dizajn;UX dizajn;Produkt managers;Kreativni direktor","Wireframing","Nikako","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Da odjebu sa pimplanjem po pikselima I embrace-aju pragmaticni dizajn","","","Critical thinking, design research, prototyping","Machine learning"
"2018/06/20 9:37:07 AM GMT+2","2 - 3 godine","UX/UI dizajner","Ženski","26-30","GRAD ZAGREB","GRAD ZAGREB","GRF","UX/UI dizajner","3","manje od 1 godine","Junior Dizajner","Dizajn studio","51-150","Ima jedan dizajn tim","10-15","Dnevni dizajn Standup;Revizija dizajna;Mentoriranje","0","0","100%","100%","1 - 3 sata / tjedno","5","5","5","5","5","4","3","2","5","3","5000kn - 6900kn","1","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Programeri;Project managers","Research;Wireframing;Izrada prototipa;Usability testing","Pomoću analitike;Radimo usability testove;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","","","","UX","AR"
"2018/06/20 12:08:28 PM GMT+2","8 - 10 godina","Produkt manager","Muški","31-35","GRAD ZAGREB","GRAD ZAGREB","FER","Produkt manager","2","2-5 godina","Management (Head of Design, Chief Design Officier i sl. )","Startup","21-50","Ima više dizajn timova","6-10","Revizija dizajna;Mentoriranje","0","25%","75%","100%","9 - 20 sata / tjedno","4","3","5","5","4","4","3","3","3","4","13000kn - 15900kn","4","Najčešće u uredu","Educiram se samostalno doma;Organizirana edukacija unutar tvrtke;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Programeri;Produkt managers;Executives;Copywritter;Researcher;Data analyst","Research;Intervjui s korisnicima;Analiza konkurencije;Wireframing;Izrada prototipa;Usability testing","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Summer/Winter internship ","Tesko pitanje, mislim da niti jedna firma trenutno ne implementira dizajn procese sukladne svijetskim standardima u 2018","/","Kriticko razmisljanje","Conversational Interfaces"
"2018/06/20 1:52:52 PM GMT+2","8 - 10 godina","UX/UI dizajner","Muški","31-35","KARLOVAČKA","ZAGREBAČKA","TVZ","UX/UI dizajner","2","6-10 godina","Senior Dizajner","Produkt okolina (tvrtka koja razvija vlastiti proizvod)","151-500","Ima jedan dizajn tim","2-5","Dnevni dizajn Standup;Revizija dizajna;Mentoriranje","50%","75%","25%","25%","1 - 3 sata / tjedno","5","5","3","5","3","5","2","1","1","5","9000kn - 9900kn","5","Najčešće u uredu i povremeno remotely","Edukacija je prisutna jedino u radu na projektima;Praćenje i uoćavanje novih trendova","Programeri;Produkt managers;Sales;Project managers;Executives;Dizajner komunikacija;Copywritter;Data analyst","Research;Analiza konkurencije;Wireframing;Izrada prototipa;Usability testing;Design Sprint;Komunikacija sa klijentom","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Dobro razmislite o željama i potrebama proizvoda i klijenta te ih definirajte, a dizajnerima prepustite odluke o dizajnu","Nema ih","Nisam izabrao niti jednu","VR & AR design, AI Design, Disappearing Interfaces","AI"
"2018/06/20 4:36:13 PM GMT+2","8 - 10 godina","Web dizajner","Muški","36-40","GRAD ZAGREB","GRAD ZAGREB","GRF","Web dizajner","2","6-10 godina","Web developer","Produkt okolina (tvrtka koja razvija vlastiti proizvod)","1001 i više","Ima jedan dizajn tim","2-5","Revizija dizajna","100%","0","0","0","1 - 3 sata / tjedno","4","4","4","4","3","5","4","2","2","3","9000kn - 9900kn","4","Najčešće u uredu","Organizirana edukacija unutar tvrtke;Knjige;Webinari;Online tečajevi","UI dizajn;UX dizajn;Programeri;Produkt managers;Project managers;Executives;Copywritter;Data analyst","Research;Analiza konkurencije;Wireframing;Izrada prototipa","Pomoću analitike;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","","","","N","AI"
"2018/06/21 12:06:34 AM GMT+2","11 - 20 godina","UX dizajner","Ženski","41-45","ZAGREBAČKA","GRAD ZAGREB","GRF","UX dizajner","1","2-5 godina","Lead Dizajner","IT firma / Startup","51-150","Nema","Samo ja","Uključujem kreativce iz drugih područja u dizajn aktivnosti","100%","0","100%","0","4 - 8 sata / tjedno","3","3","5","5","5","5","4","4","4","4","10000kn - 12900kn","4","Najčešće u uredu","Educiram se samostalno doma;Organizirana edukacija unutar tvrtke;Knjige;Audio knjige;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR","Programeri;Produkt managers;Sales","Sve, ali u ovisnosti o projektnom zadatku","Pomoću analitike;Radimo usability testove;Radimo A/B testove;Ovisi o projektnom zadatku","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Uložite u obrazovanje svojih zaposlenika","Teško mi se reci iz razloga sto ne poznajem koji su procesi drugih.","-","Strategy, Research, Design kao odvojene vještine ","Conversational interfaces, chatbots"
"2018/06/21 10:38:42 AM GMT+2","manje od 1 godine","UX/UI dizajner","Muški","26-30","GRAD ZAGREB","GRAD ZAGREB","GRF","UX/UI dizajner","3","manje od 1 godine","Junior Dizajner","Marketinška / oglašivačka agencija","51-150","Ima više dizajn timova","16-20","Dnevni dizajn Standup;Mentoriranje","100%","25%","0","0","4 - 8 sata / tjedno","4","4","5","5","4","5","3","3","3","3","5000kn - 6900kn","3","Najčešće u uredu","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Networking događaji / meetups","Programeri","Research;Intervjui s korisnicima;Analiza konkurencije;Affinity mapping;Wireframing;Izrada prototipa;Usability testing","Pomoću analitike;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Ne mogu odgovoriti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Nisu potrebni","","","","Nemogu procjeniti","Conversational Interfaces"
"2018/06/24 10:22:36 PM GMT+2","11 - 20 godina","UX/UI dizajner","Muški","31-35","GRAD ZAGREB","GRAD ZAGREB","FER","UX/UI dizajner","1","11-20 godina","Lead Dizajner","Produkt okolina (tvrtka koja razvija vlastiti proizvod)","1","Ima jedan dizajn tim","6-10","Revizija dizajna","0","0","75%","25%","4 - 8 sata / tjedno","5","5","1","5","1","5","2","1","1","5","20000kn i više","4","Najčešće remotely i povremeno u uredu","Educiram se samostalno doma;Knjige;Blogovi;Online vodiči","UI dizajn;UX dizajn;Programeri;Produkt managers;Executives;Copywritter;Researcher","Research;Intervjui s korisnicima;Fokus grupe (grupni intervjui);Analiza konkurencije;Persone;Journey Mapping;Wireframing;Izrada prototipa;Usability testing","Pomoću analitike;Radimo usability testove;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","","","","Razumijevanje poslovnih procesa, sve ostalo se lako nauci. Vrijedilo prije 10 godina, vrijedit ce i za 10, tehnike, alati i sl. se mijenjaju, osnovna logika je temelj.","Machine learning"
"2018/06/25 8:40:43 PM GMT+2","11 - 20 godina","Web dizajner","Muški","36-40","KOPRIVNIČKO-KRIŽEVAČKA","KOPRIVNIČKO-KRIŽEVAČKA","GRF","Web dizajner","2","11-20 godina","Senior Dizajner","Digitalna agencija","11-20","Nema","2-5","Nema design tima","50%","25%","0","25%","1 - 3 sata / tjedno","5","4","2","4","2","4","2","2","2","4","2800kn - 4900kn","2","Najčešće remotely","Educiram se samostalno doma;Online tečajevi","Project managers;Copywritter","Research;Analiza konkurencije;Wireframing","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni",".",".",".",".","AI"
"2018/06/26 8:00:26 AM GMT+2","4 - 7 godina","Web dizajner","Muški","26-30","MEĐIMURSKA","ZAGREBAČKA","GRF","Marketing/Brand dizajner","4","2-5 godina","Medium Dizajner","Produkt okolina (tvrtka koja razvija vlastiti proizvod)","21-50","Nema","Samo ja","Revizija dizajna","100%","100%","25%","100%","0","5","5","5","5","5","5","4","4","5","3","5000kn - 6900kn","2","Najčešće u uredu","Educiram se samostalno doma;Blogovi;Webinari;Online vodiči;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR","Sales;Copywritter","Research;Analiza konkurencije;Wireframing;Izrada prototipa","Pomoću analitike","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Nisu potrebni","Manje mikro menadzmenta, vise edukacija, vise tim liderstva i vise osluskivanja potreba marketing/dizajn tima","","","UX/UI","Chatbots;AI"
"2018/06/26 3:54:43 PM GMT+2","4 - 7 godina","Produkt dizajner (digitalni proizvodi)","Muški","26-30","GRAD ZAGREB","GRAD ZAGREB","Srednja stručna sprema","Produkt dizajner (digitalni proizvodi)","1","2-5 godina","Senior Dizajner","Digitalna agencija","51-150","Ima jedan dizajn tim","10-15","Dnevni dizajn Standup;Revizija dizajna;Mentoriranje","0","0","100%","100%","4 - 8 sata / tjedno","4","4","4","5","5","5","4","2","4","3","13000kn - 15900kn","4","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Organizirana edukacija unutar tvrtke;Knjige;Blogovi;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Programeri;Produkt managers;Project managers;Kreativni direktor;Executives;Researcher;Data analyst","Research;Intervjui s korisnicima;Analiza konkurencije;Persone;Journey Mapping;Wireframing;Izrada prototipa;Usability testing;Lean UX;Design Sprint","Pomoću analitike;Radimo usability testove;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","","","",".","AR;Conversational Interfaces;AI;Machine learning"
"2018/06/26 4:17:37 PM GMT+2","11 - 20 godina","Interactive Art Director","Muški","31-35","GRAD ZAGREB","GRAD ZAGREB","TTF (Tekstolno-tehnološki fakultet u Zagrebu)","Interactive Art Director","2","2-5 godina","Management (Head of Design, Chief Design Officier i sl. )","Digitalna agencija","51-150","Ima više dizajn timova","10-15","Dnevni dizajn Standup;Revizija dizajna;Mentoriranje","25%","25%","25%","75%","9 - 20 sata / tjedno","3","4","5","5","4","5","3","4","5","4","10000kn - 12900kn","3","Najčešće u uredu","Educiram se samostalno doma;Organizirana edukacija unutar tvrtke;Knjige;Webinari;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Programeri;Produkt managers;Sales;Project managers;Executives","Research;Intervjui s korisnicima;Analiza konkurencije;Persone;Journey Mapping;Wireframing;Izrada prototipa;Usability testing;Lean UX;Design Sprint","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Ne mogu odgovoriti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","","Five, Degordian","Rade na dizajn procesima, prezentiraju svoje znanje na van zajednici, kroz caseve, strucne blog postove i predavanja na meetupovima","Komunikacija, Informacijska arhitektura, business understanding ","Conversational Interfaces;AI;Machine learning"
"2018/06/26 4:29:13 PM GMT+2","8 - 10 godina","UX/UI dizajner","Muški","36-40","ZAGREBAČKA","ZAGREBAČKA","FER","UX/UI dizajner","6","6-10 godina","Lead Dizajner","Digitalna agencija","1","Ima jedan dizajn tim","2-5","Mentoriranje","50%","75%","100%","100%","0","1","2","3","2","3","3","3","3","3","3","5000kn - 6900kn","3","Najčešće u uredu","Educiram se samostalno doma","UI dizajn","Usability testing","Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","","","","j","Machine learning"
"2018/06/26 7:01:36 PM GMT+2","4 - 7 godina","Dizajner vizualnih komunikacija","Muški","26-30","PRIMORSKO-GORANSKA","PRIMORSKO-GORANSKA","Apuri","Marketing/Brand dizajner","2","2-5 godina","Medium Dizajner","Digitalna agencija","2-10","Ima jedan dizajn tim","2-5","Revizija dizajna;Mentoriranje","50%","50%","0","0","1 - 3 sata / tjedno","3","2","3","3","4","3","2","2","2","5","2800kn - 4900kn","4","Najčešće u uredu","Educiram se samostalno doma;Knjige;Blogovi;Online vodiči;Online tečajevi","UI dizajn;UX dizajn;Programeri;Project managers;Kreativni direktor;Copywritter","Research;Persone;Wireframing;Izrada prototipa","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Ne mogu odgovoriti","Nisu potrebni","Ne mogu odgovoriti","Nista","","Client usability","Dobre komunikacijske vjestine. Razumjevanje potreba klijenta. ","VR;Chatbots;AI;Machine learning"
"2018/06/27 10:29:48 AM GMT+2","4 - 7 godina","UX/UI dizajner","Muški","22-25","VARAŽDINSKA","GRAD ZAGREB","Arhitektonski fakultet - studij dizajna","UX/UI dizajner","3","2-5 godina","Medium Dizajner","Digitalna agencija","51-150","Ima jedan dizajn tim","10-15","Dnevni dizajn Standup;Revizija dizajna;Mentoriranje;Radionice","25%","25%","25%","25%","4 - 8 sata / tjedno","3","3","3","3","2","3","3","3","2","4","7000kn - 8900kn","4","Najčešće u uredu","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Organizirana edukacija unutar tvrtke;Knjige;Blogovi;Webinari;Online vodiči;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","Programeri;Produkt managers;Project managers","Research;Intervjui s korisnicima;Analiza konkurencije;Affinity mapping;Persone;Journey Mapping;Wireframing;Izrada prototipa;Usability testing;Design Sprint","Pomoću analitike;Radimo usability testove;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Ne mogu odgovoriti","U procesu dogovaranja posla uključiti dizajnera.","Prostoria, Five","Dizajn se provlaci kroz cijeli proces razvoja proizvoda, što pokazuju i njihovi rezultati ","Prepoznavanje društvenih problema, prepoznavanje i definiranje jednostavnih flowova, odvajanje ega od rezultata testiranja","Conversational Interfaces;Machine learning"
"2018/06/27 11:00:52 AM GMT+2","4 - 7 godina","UX/UI dizajner","Muški","22-25","GRAD ZAGREB","GRAD ZAGREB","GRF","UX/UI dizajner","2","2-5 godina","Medium Dizajner","Digitalna agencija","51-150","Ima jedan dizajn tim","10-15","Revizija dizajna","0","0","100%","100%","4 - 8 sata / tjedno","5","5","5","5","3","4","3","2","5","4","13000kn - 15900kn","3","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Knjige;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Produkt managers;Project managers","Persone;Wireframing;Izrada prototipa;Usability testing;Lean UX;Design Sprint","Pomoću analitike;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","","Five","","Prilagodljivost, samoinicijativa","AR;AI;Machine learning"
"2018/06/27 11:09:00 AM GMT+2","4 - 7 godina","Web dizajner","Muški","26-30","GRAD ZAGREB","GRAD ZAGREB","Sveučilište Sjever","Web dizajner","6","2-5 godina","Management (Head of Design, Chief Design Officier i sl. )","Marketinška / oglašivačka agencija","51-150","Ima više dizajn timova","6-10","Revizija dizajna;Mentoriranje","75%","25%","25%","25%","9 - 20 sata / tjedno","4","2","4","5","5","4","5","3","3","4","13000kn - 15900kn","5","Najčešće u uredu","Educiram se samostalno doma;Organizirana edukacija unutar tvrtke;Networking događaji / meetups;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Programeri;Produkt managers;Sales;Kreativni direktor;Dizajner komunikacija;Copywritter","Research;Analiza konkurencije;Wireframing;Izrada prototipa","Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Ne mogu odgovoriti","Nisu potrebni","U procesu rada potrebno je više vremena ","Five","Stvaraju nove ljude, a razvijaju i tržište iz dana u dan. Prema van izgledaju vrlo profesinalno.","dizajn tehnologija, razvoj interaktivnih procesa, IoT dizajn","VR;AI;Machine learning"
"2018/06/27 3:59:51 PM GMT+2","2 - 3 godine","Grafički dizajner","Muški","26-30","ŠIBENSKO-KNINSKA","GRAD ZAGREB","Srednja stručna sprema","Grafički dizajner","4","manje od 1 godine","Junior Dizajner","Dizajn studio","2-10","Ima jedan dizajn tim","2-5","Revizija dizajna;Mentoriranje","75%","25%","0","0","1 - 3 sata / tjedno","3","2","5","5","5","5","4","2","4","5","2800kn - 4900kn","3","Najčešće u uredu","Educiram se samostalno doma;Knjige","Kreativni direktor","Research;Analiza konkurencije;Wireframing;Izrada prototipa","Nikako","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","","","","psihologija, design thinking, želja za konstantnin učenjem i razvojem teorije dizajna","VR;360 video;AI;Machine learning"
"2018/06/27 10:02:44 PM GMT+2","2 - 3 godine","Grafički dizajner","Ženski","22-25","GRAD ZAGREB","GRAD ZAGREB","GRF","Grafički dizajner","4","2-5 godina","Junior Dizajner","Digitalna agencija","2-10","Nema","Samo ja","Nema design tima","50%","0","0","0","1 - 3 sata / tjedno","2","3","2","2","3","3","2","2","2","4","2800kn - 4900kn","3","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Blogovi;Online tečajevi","Project managers;Kreativni direktor;Data analyst","Research;Analiza konkurencije","lajkovi :)","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","zaposliti jos nekoga :)","B&ž&Grey, Šesnić i Turković, Imago, Señior","ulazu nadu u mlade ljude","web, ui, ux, animacije i video","VR"
